"","CON-001","CON-002","CON-003","CON-004","CON-005","CON-006","CON-007","CON-008","CON-009","CON-010","CON-011","CON-012","CON-013","CON-014","CON-015","CON-016","CON-017","CON-018","CON-019","CON-020","CON-021","CON-022","CON-023","CON-026","CON-027","CON-028","CON-029","CON-031","CON-032","CON-033","CON-034","CON-035","CON-036","CON-037","CON-038","CON-039","CON-040","CON-041","CON-042","CON-043","CON-044","CON-045","CON-046","CON-047","CON-048","CON-049","CON-050","CON-051","CON-052","CON-053","CON-054","CON-055","CON-056","CON-057","CON-058","CON-059","CON-060","CON-061","CON-062","CON-063","CON-064","CON-065","CON-066","CON-067","CON-068","CON-069","CON-070","CON-071","CON-072","CON-073","CON-074","CON-075","CON-076","CON-077","CON-078","CON-079","CON-080","CON-081","CON-082","CON-083","CON-084","CON-085","CON-086","CON-087","CON-088","CON-089","CON-090","CON-091","CON-092","CON-093","CON-095","CON-096","CON-097","CON-098","CON-099","CON-101","CON-104","CON-105","CON-106","CON-107","DLF001","DLF002","DLF003","DLF004","DLF005","DLF006","DLF007","DLF008","DLF009","DLF010","DLF012","DLF013","DLF014","DLM001","DLM002","DLM003","DLM004","DLM005","DLM006","DLM007","DLM008","DLM009","DLM010","DLM011","DLM012","DLM013","DLM014","DLM015","DLM016","DLM017","DLM018","DLM019","DLM020","DLM021","DLM022","DLM023","DLM024","DLM027","DLM028","DOF002","DOF003","DOF004","DOF006","DOF007","DOF008","DOF009","DOF010","DOF011","DOF012","DOF013","DOF014","DOM001","DOM003","DOM005","DOM008","DOM010","DOM012","DOM013","DOM014","DOM015","DOM016","DOM017","DOM018","DOM019","DOM020","DOM021","DOM022","DOM023","DOM024","DOM025","DOM026","NLF001","NLF002","NLF005","NLF006","NLF007","NLF008","NLF009","NLF010","NLF011","NLF012","NLF013","NLF014","NLF015","NLM001","NLM002","NLM003","NLM004","NLM005","NLM006","NLM007","NLM008","NLM009","NLM010","NLM015","NLM016","NLM017","NLM021","NLM022","NLM023","NLM024","NLM025","NLM026","NLM027","NLM028","NLM029","NLM031","NLM032","NOF001","NOF002","NOF004","NOF005","NOF006","NOF007","NOF008","NOF009","NOF010","NOF011","NOF012","NOF013","NOF014","NOM001","NOM002","NOM004","NOM005","NOM007","NOM008","NOM009","NOM010","NOM012","NOM013","NOM014","NOM015","NOM016","NOM017","NOM018","NOM019","NOM020","NOM022","NOM023","NOM025","NOM026","NOM027","NOM028","NOM029","T2D-001","T2D-002","T2D-003","T2D-004","T2D-005","T2D-006","T2D-007","T2D-008","T2D-009","T2D-010","T2D-011","T2D-012","T2D-013","T2D-014","T2D-015","T2D-016","T2D-017","T2D-018","T2D-019","T2D-020","T2D-021","T2D-022","T2D-023","T2D-024","T2D-025","T2D-026","T2D-028","T2D-029","T2D-030","T2D-031","T2D-036","T2D-039","T2D-040","T2D-041","T2D-042","T2D-043","T2D-044","T2D-045","T2D-046","T2D-047","T2D-048","T2D-049","T2D-050","T2D-051","T2D-052","T2D-053","T2D-054","T2D-055","T2D-056","T2D-057","T2D-058","T2D-059","T2D-060","T2D-062","T2D-063","T2D-064","T2D-065","T2D-066","T2D-067","T2D-068","T2D-069","T2D-070","T2D-071","T2D-072","T2D-073","T2D-074","T2D-075","T2D-076","T2D-077","T2D-078","T2D-079","T2D-080","T2D-081","T2D-082","T2D-083","T2D-084","T2D-085","T2D-086","T2D-087","T2D-088","T2D-089","T2D-090","T2D-091","T2D-092","T2D-093","T2D-094","T2D-095","T2D-096","T2D-097","T2D-098","T2D-099","T2D-100","T2D-101","T2D-102","T2D-103","T2D-104","T2D-105","T2D-106","T2D-107"
"s__Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,19705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5678,0,0,0,0,0,0,0,0,0,0,0,0,152663,0,0,474930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35984,0,0,0,0,0,45500,0,0,0,0,0,0,0,0,0,0,0,0,40138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27209,0,0,0,0,0,0,0,0,0,0,0,0,22783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Methanobrevibacter_smithii",146888,237349,0,0,223736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108,0,0,0,0,0,0,0,0,2713,0,0,0,0,2781,0,0,0,0,515954,0,2528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69142,0,0,43731,0,0,0,0,0,0,795085,0,0,61519,0,0,0,0,0,118968,0,0,929,0,0,0,52422,0,0,0,0,0,0,0,0,522394,13740,0,0,0,0,0,0,86522,0,0,0,0,0,0,356275,0,0,0,0,0,0,0,0,23446,0,0,0,0,0,0,0,1302,0,0,0,0,203332,0,0,3588992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3064,0,0,73517,0,0,0,0,0,0,0,0,0,5345,0,0,0,23262,417339,1122,0,0,0,0,0,0,0,37257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7321,339333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249827,0,31798,0,0,0,0,17380,1903,0,0,215881,0,0,0,30052,0,0,0,0,0,0,0,0,0,431858,0,0,0,0,0,0,0,2079973,0,0,0,0,0,0,0,0,0,529687,0,0,2123467,0,0,0,0,0,0,0,117151,0,0,0,0,0,4069800,0,0,0,0,0,0,0,0
"s__Pyrococcus_yayanosii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Synergistes_sp_3_1_syn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468371,0,0,0,0,61762,0,0,0,0,144355,0,0,0,36254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60196,0,0,0,0,0,0,153637,0,0,0,0,0,0,0,0,0,0,0,0,99174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Fretibacterium_fastidiosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Pyramidobacter_piscolens",31067,0,0,0,0,0,0,0,0,0,9760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5444,3062,0,0,0,0,3416,0,114362,3023,0,0,0,0,0,0,0,0,0,16376,0,556,0,769,0,0,0,0,0,0,0,0,6987,0,95028,0,4736,0,0,9203,0,4816,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,0,0,0,0,0,0,2952,0,0,0,0,0,0,0,0,36212,0,0,0,4998,31047,0,88939,25234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10766,0,0,0,0,0,44662,0,0,0,0,0,0,0,0,0,0,604927,0,0,0,0,34928,0,80510,0,0,699503,0,382261,35226,161313,0,0,0,0,0,0,0,0,21253,0,0,0,0,0,1365,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,23495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251372,0,0,0,0,0,0,0,0,5018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11660,0,0,261332,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,44599,0,0,0,0,0,0,0,0,0,52429,0,0,0,0,0,0,598,0,0
"s__Megamonas_hypermegale",0,1762559,48360,27652,110927,0,0,0,0,0,0,0,0,256402,0,0,1270609,0,0,85066,58425,758686,0,0,212335,0,0,0,0,317128,0,0,187850,0,0,0,491749,0,0,104953,0,0,0,1554226,0,0,0,0,19160,0,214734,0,7213,0,0,1570300,0,85288,263898,0,0,5184316,0,0,0,0,0,0,0,0,90267,0,93454,0,0,420042,0,3074,964174,0,4349,1044,0,0,3379,0,0,0,0,99793,7948,35558,1827,0,0,52852,0,0,0,1784841,277492,0,0,0,1017557,0,0,0,6018,13845,0,0,0,20519,1172355,31986,0,49144,0,1419,0,0,0,0,0,0,0,79871,0,587706,6160,0,0,0,0,0,0,0,0,0,0,0,0,1617,0,0,0,2048729,3769,144556,42270,0,59840,0,0,5494,0,3602,44917,0,51179,0,0,0,245981,842991,0,69633,0,45102,0,2352375,298483,0,0,0,196896,0,1290664,0,0,0,0,11354,35519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69496,48478,0,0,0,0,0,0,0,0,6263,0,0,0,39026,105124,1367,0,0,0,0,55533,0,356055,0,0,0,1155512,0,0,0,0,0,0,281527,8211546,0,0,154486,0,0,0,0,466993,2074602,0,0,0,960148,0,0,0,43068,0,92672,180159,0,679102,1141430,0,261358,0,1425989,0,0,0,1095111,0,0,0,0,4197,0,0,798501,0,355408,664581,299886,0,93394,0,0,236276,0,0,0,0,0,0,23323,1170,0,0,0,0,0,0,0,0,1034455,6602,3256077,0,0,0,0,0,1386,79203,0,0,0,0,0,230587,61907,0,0,0,3657,0,20144,36644,0,10366,0,27008,0,0,8987,0,0,0,0,0,0
"s__Megamonas_funiformis",0,360542,166416,147573,0,0,0,0,0,0,0,0,0,0,0,0,82926,0,0,9909,0,25955,0,0,67301,0,0,0,0,53730,0,0,153,0,0,0,460824,0,0,84711,0,0,0,129831,0,0,0,0,0,0,0,0,17361,0,0,413877,0,295045,459813,0,0,916875,0,0,0,0,0,0,0,0,0,0,456671,0,0,0,0,0,41706,0,57127,2160,0,0,73406,0,0,0,0,2427,16557,0,25756,0,0,38528,0,0,0,426672,101595,0,0,0,116343,0,0,0,6069,0,0,0,0,0,497051,0,0,55574,0,0,0,0,0,0,0,0,0,0,0,238531,73973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14933,0,716155,0,0,0,0,0,34286,0,0,0,0,0,0,379,738244,65150,0,78914,0,57124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874137,0,0,0,0,0,0,0,0,0,0,460266,0,0,0,0,0,0,4228,124656,0,0,0,0,0,0,0,0,0,0,0,0,46753,0,0,0,0,0,0,0,0,0,0,0,0,127518,0,0,0,0,0,0,98968,0,0,0,0,0,0,0,0,249839,0,0,0,0,365622,0,0,0,0,0,0,52334,0,886469,663,0,1080,0,264340,0,0,0,119640,0,0,0,0,0,0,0,45001,0,92750,1978008,333617,0,181275,0,24573,392,0,0,0,0,0,0,0,0,0,0,519355,0,0,0,0,0,973,0,422470,0,0,0,0,0,594555,0,0,0,0,0,0,78164,57319,0,0,0,0,0,5639,0,0,0,367935,0,47684,0,0,0,0,0,122568,0,0
"s__Megamonas_rupellensis",0,609796,0,383317,276872,0,0,0,0,0,0,0,0,508419,0,0,190065,0,0,113950,4623461,370610,0,0,0,0,0,0,0,0,0,0,237974,0,0,354017,1296470,0,0,1068,0,0,0,0,0,0,0,0,28261,0,297786,0,38732,0,0,197776,0,949,966120,0,0,0,0,0,0,0,0,0,0,0,2289517,0,551,0,0,43479,0,105423,5564,0,30255,0,0,0,221007,0,0,0,0,155846,327615,162682,2279028,0,0,31842,0,0,0,148000,450435,276,0,0,2192,0,0,0,536,689,0,0,0,1265,0,185017,0,57563,0,4035,0,0,0,0,0,0,0,245144,0,40951,0,0,0,0,0,0,0,0,0,0,0,0,0,1831,0,0,339,1401831,1440,1791881,2260,0,0,0,0,286521,0,975580,206,0,319005,0,0,0,742718,5832,0,30363,0,5730,0,4230,1294712,0,0,0,2315553,0,2039912,0,0,0,0,73141,157322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,0,0,0,0,0,0,135465,52223,0,0,0,0,0,0,269,0,20541,0,0,0,43714,3817391,0,0,0,0,0,16961,0,910938,0,0,0,16296,0,0,0,0,0,0,281867,55973,0,0,944380,0,0,0,0,99402,332643,0,0,0,27023,0,0,0,170664,0,117713,26660,0,1507855,279,0,1993,0,9486,0,0,0,1142757,0,0,0,0,633227,0,0,35082,0,13024,1341313,63593,0,56238,0,474729,2136241,0,0,0,0,0,0,361003,24981,0,0,0,0,0,0,0,0,23417,1614,277352,0,0,0,0,0,0,372339,0,0,0,0,0,866,146963,0,0,0,2179,0,4778,41571,2371,54650,20087,258,0,0,469,0,0,0,0,0,0
"s__Mitsuokella_multacida",0,0,0,0,0,88106,0,0,0,477607,0,3848,0,0,0,0,0,0,0,0,0,0,0,0,0,13609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448845,0,0,0,0,0,0,21524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791729,0,0,0,0,0,0,0,0,40728,0,0,0,0,0,0,0,0,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208109,0,0,0,5603,0,33239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707269,0,0,0,0,0,0,0,0,0,0,0,102092,0,0,0,0,0,0,0,0,0
